date,mn
2018-08-01,240
2018-09-01,248
2018-10-01,256
2018-11-01,262
2018-12-01,268
2019-01-01,271
2019-02-01,278
2019-03-01,287
2019-04-01,295
2019-05-01,299
2019-06-01,303
2019-07-01,306
2019-08-01,309
2019-09-01,307
2019-10-01,305
2019-11-01,307
2019-12-01,310
2020-01-01,316
2020-02-01,316
2020-03-01,319
2020-04-01,324
2020-05-01,331
2020-06-01,330
2020-07-01,330
2020-08-01,329
2020-09-01,328
2020-10-01,334
2020-11-01,334
2020-12-01,338
