date,retail,ave
2000-05-01,11328.4,
2000-06-01,12241.6,
2000-07-01,10943.4,
2000-08-01,11518.8,
2000-09-01,11736.2,
2000-10-01,11627.1,
2000-11-01,11629.7,
2000-12-01,11783.5,
2001-01-01,11896,
2001-02-01,12095.8,
2001-03-01,12176.4,
2001-04-01,12250.2,
2001-05-01,12282.6,
2001-06-01,12365.7,
2001-07-01,12436.1,
2001-08-01,12442.8,
2001-09-01,12462.2,
2001-10-01,12627,
2001-11-01,12704.7,
2001-12-01,12850.6,
2002-01-01,13018.9,
2002-02-01,12974.7,
2002-03-01,13069.4,
2002-04-01,13172.6,
2002-05-01,13381.9,
2002-06-01,13272.4,
2002-07-01,13351.1,
2002-08-01,13485.3,
2002-09-01,13525.8,
2002-10-01,13474.3,
2002-11-01,13756.4,
2002-12-01,13724.1,
2003-01-01,13742.8,
2003-02-01,13746.6,
2003-03-01,13844.1,
2003-04-01,13995.3,
2003-05-01,14092.6,
2003-06-01,14075.1,
2003-07-01,14304.5,
2003-08-01,14396.6,
2003-09-01,14578.7,
2003-10-01,14734,
2003-11-01,14916.2,
2003-12-01,14885.7,
2004-01-01,15029.6,
2004-02-01,15038.8,
2004-03-01,15149.2,
2004-04-01,15116,
2004-05-01,15208.3,
2004-06-01,15366.8,
2004-07-01,15355.3,
2004-08-01,15347.6,
2004-09-01,15613.8,
2004-10-01,15458.5,
2004-11-01,15434.9,
2004-12-01,15428.9,
2005-01-01,15439.1,
2005-02-01,15583.4,
2005-03-01,15539.1,
2005-04-01,15407,
2005-05-01,15591.3,
2005-06-01,15732.3,
2005-07-01,15705.6,
2005-08-01,15810.6,
2005-09-01,15803.7,
2005-10-01,15793.2,
2005-11-01,15871.7,
2005-12-01,15934.5,
2006-01-01,16043.1,
2006-02-01,16183.8,
2006-03-01,16262.6,
2006-04-01,16457.1,
2006-05-01,16519.7,
2006-06-01,16645.5,
2006-07-01,16676.6,
2006-08-01,16743.3,
2006-09-01,16816.1,
2006-10-01,16990.5,
2006-11-01,17001.5,
2006-12-01,17049.7,
2007-01-01,17236.8,
2007-02-01,17440.3,
2007-03-01,17664.6,
2007-04-01,17542.1,
2007-05-01,17543.4,
2007-06-01,17818.1,
2007-07-01,17959,
2007-08-01,18062.7,
2007-09-01,18259.2,
2007-10-01,18296.6,
2007-11-01,18401.2,
2007-12-01,18473.1,
2008-01-01,18434.2,
2008-02-01,18408.3,
2008-03-01,18473,
2008-04-01,18498.9,
2008-05-01,18521.4,
2008-06-01,18393.1,
2008-07-01,18681.2,
2008-08-01,18603.1,
2008-09-01,18520.8,
2008-10-01,18704.7,
2008-11-01,18761.1,
2008-12-01,19530.6,
2009-01-01,19465.4,
2009-02-01,19211.9,
2009-03-01,19718.8,
2009-04-01,19744.1,
2009-05-01,19940.4,
2009-06-01,19833.7,
2009-07-01,19592.8,
2009-08-01,19659.5,
2009-09-01,19648.7,
2009-10-01,19755.8,
2009-11-01,20134.4,
2009-12-01,19990.5,
2010-01-01,20053.3,
2010-02-01,19892,
2010-03-01,19938.3,
2010-04-01,20161.1,
2010-05-01,20200.5,
2010-06-01,20278.1,
2010-07-01,20386.1,
2010-08-01,20442.5,
2010-09-01,20428.3,
2010-10-01,20239.8,
2010-11-01,20372.1,
2010-12-01,20447.5,
2011-01-01,20434.5,
2011-02-01,20634.6,
2011-03-01,20513,
2011-04-01,20734.3,
2011-05-01,20654.8,
2011-06-01,20590.9,
2011-07-01,20777.7,
2011-08-01,20895.8,
2011-09-01,20887.9,
2011-10-01,20967.7,
2011-11-01,21007.7,
2011-12-01,21039.4,
2012-01-01,20964.5,
2012-02-01,21025,
2012-03-01,21242,
2012-04-01,21278.5,
2012-05-01,21453.2,
2012-06-01,21711.9,
2012-07-01,21575.6,
2012-08-01,21597.9,
2012-09-01,21684.7,
2012-10-01,21621.5,
2012-11-01,21568.7,
2012-12-01,21610.5,
2013-01-01,21737.3,
2013-02-01,21985.2,
2013-03-01,21860.9,
2013-04-01,21880.3,
2013-05-01,22003.1,
2013-06-01,21993.1,
2013-07-01,22042.6,
2013-08-01,22204.7,
2013-09-01,22356.5,
2013-10-01,22431.6,
2013-11-01,22630.9,
2013-12-01,22879.4,
2014-01-01,23093.1,
2014-02-01,23087.4,
2014-03-01,23097.3,
2014-04-01,23158.5,
2014-05-01,23112,
2014-06-01,23225.9,
2014-07-01,23402.5,
2014-08-01,23436,
2014-09-01,23697.9,
2014-10-01,23766.6,
2014-11-01,23781.3,
2014-12-01,23838.6,
2015-01-01,23977.7,
2015-02-01,24137.8,
2015-03-01,24132.5,
2015-04-01,24179.7,
2015-05-01,24241,
2015-06-01,24394.6,
2015-07-01,24462,
2015-08-01,24564.7,
2015-09-01,24643.4,
2015-10-01,24757.5,
2015-11-01,24837,
2015-12-01,24891.6,
2016-01-01,24990.9,
2016-02-01,24980.9,
2016-03-01,25102.9,
2016-04-01,25089.8,
2016-05-01,25058.7,
2016-06-01,25149.3,
2016-07-01,25148.6,
2016-08-01,25337.3,
2016-09-01,25574.1,
2016-10-01,25575.6,
2016-11-01,25643.3,
2016-12-01,25666,
2017-01-01,25752.9,
2017-02-01,25656.3,
2017-03-01,25638.6,
2017-04-01,25891.9,
2017-05-01,25991.6,
2017-06-01,26043,
2017-07-01,26049,
2017-08-01,25902.7,
2017-09-01,25944.9,
2017-10-01,26024,
2017-11-01,26305.2,
2017-12-01,26328.4,
2018-01-01,26317.7,26317.7
2018-02-01,26418.5,26418.5
2018-03-01,26414.4,26414.4
2018-04-01,26572.8,26572.8
2018-05-01,26691,26691
2018-06-01,26734.4,26734.4
2018-07-01,26782.5,26782.5
2018-08-01,26879,26879
2018-09-01,26918.3,26918.3
2018-10-01,27022.9,27022.9
2018-11-01,27013,27013
2018-12-01,27050.1,27050.1
2019-01-01,27092.5,27092.5
2019-02-01,27253.8,27253.8
2019-03-01,27300.5,27300.5
2019-04-01,27309.5,27309.5
2019-05-01,27360,27360
2019-06-01,27408.9,27408.9
2019-07-01,27430.5,27430.5
2019-08-01,27543.5,27543.5
2019-09-01,27589.2,27589.2
2019-10-01,27635,27635
2019-11-01,27895.6,27895.6
2019-12-01,27747.2,27747.2
2020-01-01,27608.3,27808.1
2020-02-01,27775.7,27869
2020-03-01,30033.3,27930.2
2020-04-01,24816.7,27991.4
2020-05-01,28940.1,28052.8
2020-06-01,29724.9,28114.3
2020-07-01,30729.1,28176
2020-08-01,29480.4,28237.8
2020-09-01,29163,28299.7
2020-10-01,29601.6,28361.8
2020-11-01,31571.4,28424
2020-12-01,30450.9,28486.3
2021-01-01,30538.5,28548.8
2021-02-01,30300.6,28611.4
2021-03-01,30724.5,28674.1
2021-04-01,,28737
2021-05-01,,28800
2021-06-01,,28863.2
2021-07-01,,28926.5
2021-08-01,,28989.9
2021-09-01,,29053.5
2021-10-01,,29117.2
2021-11-01,,29181.1
2021-12-01,,29245.1
