Males,45-49,88833,133079,146300,147900,152700,158000,164100,169700,175800,181100,186800,191000,195800,201100,207700,213000,217300,220600,223700,224400,223800,222400,220900,218500,218600,219400,224600,229000,234100,237600,243900,250800,258900,267500,276000,284300,292200,300000,308900,316900,325600,332500,335600,334700,330700,326500,329000,342371,355114,369854,384012,392790,407574,407807,412379,414312,415784,411312,402583,393961,386245,380108,377330,383507,393109,405161,420166,433181,446665,460978,482290,503478,526498,561350,594671,615014,633152,651628,647382,651752,658616,663238,670907,681079,692759,706985,719486,731592,747698,762004,770435,770567,764147,759500,757455,758910,767682,785668,807190,819630,825010,823400,808600,793300,786100,785100,794200,810600,833500,860800,886300,907400,924800
Males,50-54,66809,108132,135000,137600,140000,142100,142100,142200,143700,147000,150400,155500,161000,166400,170900,176500,181200,185900,191100,197500,203000,208000,211500,214800,215200,213800,211800,210300,208000,208900,211100,217900,224100,230200,234500,240000,245400,252100,259900,268200,276900,284700,292200,300000,307600,315400,321500,324859,324351,320171,315748,318191,339272,352586,366605,381987,387405,393500,395689,397982,398114,396506,395549,392274,385350,379923,375001,376999,384641,393894,405930,420262,433762,445722,455025,473401,494305,514981,555106,588896,610701,630498,648130,644584,647251,652232,658928,670162,681898,693355,709117,723754,739627,753867,765131,771232,769616,762788,754630,749650,750350,760300,777300,794900,805000,810100,807900,796400,784400,778900,778200,787300,803800
Males,55-59,52928,72058,117400,119600,122300,125100,126900,128400,129800,130000,130100,129500,129900,131400,134600,138200,143600,149100,154500,158900,164400,169000,173500,178400,184700,189800,194100,197300,200100,200400,199400,197900,197500,196100,197900,199900,205400,210900,216400,220500,226100,231300,237800,245000,253400,261400,268800,276463,282405,288408,294671,299879,306569,308810,307581,304547,309767,321856,331613,344254,357935,365862,370137,374126,379480,382518,385087,384834,380371,375301,371161,366929,367302,373792,382818,392735,405139,417797,432327,446539,466293,487075,509420,545884,578102,597807,615600,628894,625668,631294,639246,648777,662069,673971,684725,697760,710341,723738,738630,749990,757220,755400,746600,736300,729500,729900,739300,758200,777500,788400,793700,791600,780400
Males,60-64,46074,51416,91000,95000,100200,104800,107400,108700,109800,110800,111500,112000,113100,114000,114000,114600,115100,116000,117600,120700,124100,129200,134100,138700,142300,147200,151300,155400,159700,165200,170000,174700,178300,181000,181400,179700,177800,177200,176400,178300,180600,185400,190000,194700,198400,203500,209000,215704,221961,228511,234474,238908,249170,256685,264392,272869,279030,281141,283190,283030,278983,282288,291847,304455,319464,335472,344686,351599,355396,361130,364724,367815,366779,362370,357344,354213,352124,352091,359692,369909,382630,398235,411183,423058,433865,450490,469508,490907,528732,559927,579498,597038,611198,609179,615091,621800,628448,637586,649290,661360,675960,690900,702700,714500,724900,731900,730200,723800,715700,710400,711300,720700,739400
Males,65-69,38326,40227,57300,62600,67700,72300,76400,79600,82600,85800,88200,89800,91000,91600,92400,93300,94200,95100,96200,96500,97300,97800,98400,99500,101700,104200,108400,112600,116500,119500,123900,127200,130600,134100,139100,143600,147700,150400,153100,153400,151600,149500,149300,148900,151300,153100,157500,161719,165416,168880,174369,178294,189631,194952,200562,206066,211570,218207,224315,230484,238716,245779,250145,252520,251850,249381,253908,266052,278905,292290,306968,313789,320142,324682,329264,331527,333907,335788,335719,333578,331808,329907,333321,341402,350695,361124,372941,382035,397118,410907,430379,451241,474253,507807,536807,555428,573231,589110,586610,589880,595240,602100,610700,620300,631400,645200,659300,672800,686300,698000,705300,704300,698900
Males,70-74,25675,29063,33600,35200,37400,40000,43000,46200,49800,53100,55900,58900,61900,64200,66600,68300,69800,70600,71100,72100,72600,73600,74700,75200,75000,75400,75800,76100,76900,78700,80700,84200,87600,90500,92600,95500,98000,101000,104200,108300,112300,115200,117000,119100,119100,117300,115400,115282,114821,115766,116303,119192,127045,131875,136972,143114,145386,149580,154829,160157,165009,170110,176029,183526,190505,198959,205141,209344,212901,212671,212201,217888,228494,239042,250148,263090,269007,274750,280491,286711,292814,297685,301501,301422,299204,297740,297039,300343,308311,317663,329642,344030,357296,370023,381461,398534,416272,436841,470420,499500,518900,535700,548800,546100,549200,554900,561300,571400,582300,594300,608400,622600,636500
Males,75-79,12709,18831,19800,20300,20900,21700,22300,23400,24200,25300,26800,28400,30600,32800,35100,37200,39600,41800,43300,45000,46300,47100,47800,47900,48000,48200,49500,50400,50900,50800,51200,51300,51300,51900,53400,54600,56700,59000,60900,62200,64300,66400,69000,71200,73800,76300,78200,79313,79817,79327,77512,76651,77825,77656,77716,78887,83760,88772,91810,95488,99735,102370,106191,110804,115455,120540,126330,132742,137670,143179,149797,154537,158993,161945,163045,162872,168892,178711,189031,199609,210930,218191,225821,231304,237596,243017,247212,249995,251339,251539,252539,253763,258411,266730,276169,286700,298086,308155,321691,333721,351175,368500,387500,418000,444600,461900,478100,491600,491000,495900,502300,509500,520200
Males,80-84,5961,8808,9500,9700,10100,10300,11000,11000,11100,11400,11800,12100,13000,13400,13900,14500,15200,16400,17800,19200,20200,21700,23100,23700,24300,25100,25900,26200,26200,26400,26500,27500,28300,28400,28200,28300,28400,28600,29100,30300,30600,31900,33300,34300,34700,36000,37000,38455,39466,40994,42216,42605,43819,44405,44705,44677,44053,43985,43944,44794,45766,49205,52056,54877,57769,61115,63415,66341,70367,73786,77066,80776,84413,88310,93064,98295,102233,105336,108165,110161,111946,118211,127383,135732,143958,152166,158302,164408,170213,176055,180966,186331,190572,192582,194067,196233,197816,202502,209914,218461,228349,238300,248100,259800,270200,285200,300600,317800,344900,368400,384000,398600,410900
Males,85 and over,2192,3429,4700,4700,4500,4100,4000,3900,4100,4100,4200,4900,5300,5700,6000,6100,6300,6500,6400,6500,6600,6900,7500,7900,8100,8500,9700,10600,11700,12100,12500,12900,13100,13100,13500,14000,14300,14700,14500,14300,14700,15300,15800,16300,16800,17000,17400,17911,18321,18530,18899,19950,21057,21640,22512,23303,23926,24913,25516,26168,26548,27287,27784,28460,29019,30197,32407,34707,36254,37885,39980,41566,44220,47300,50270,53176,56593,60003,63596,67849,72373,77038,81367,84624,87147,89793,96511,103266,110923,117342,124007,131584,139070,147035,155526,163842,171882,179238,185066,190647,198121,202400,209300,217500,225500,234700,244900,255900,269400,281400,297400,314500,333100
Females,00-04,214754,258222,296300,300000,305400,310300,315800,315000,313400,312000,309900,304100,299300,290200,280200,271400,264400,259500,262900,267400,274400,280600,288700,299100,306300,321600,338900,350400,375600,396500,410900,434100,456400,457400,467500,477500,486100,494100,502300,510100,521800,532700,546400,557000,563400,567100,567300,565398,559607,557493,566749,579856,610824,627605,634779,632863,626040,605593,583261,568086,557618,552293,556400,563564,570067,576921,585383,589465,594528,600143,606818,612921,619401,625533,628900,631107,631233,628737,628456,625240,623110,620507,620632,618479,618520,618674,621496,630082,650228,672841,693715,707690,709587,727468,741535,750223,755529,765733,767900,764300,761380,759000,743100,733700,733600,740900,746100,754600,764400,770300,772300,773600,775700
